date,city,value
2020-03-30,福岡市消防局,14
2020-04-06,福岡市消防局,22
2020-04-13,福岡市消防局,35
2020-04-20,福岡市消防局,27
2020-04-27,福岡市消防局,18
2020-05-04,福岡市消防局,23
2020-05-11,福岡市消防局,8
2020-05-18,福岡市消防局,4
2020-05-25,福岡市消防局,10
2020-06-01,福岡市消防局,8
2020-06-08,福岡市消防局,6
2020-06-15,福岡市消防局,4
2020-06-22,福岡市消防局,7
2020-06-29,福岡市消防局,8
2020-07-06,福岡市消防局,6
2020-07-13,福岡市消防局,8
2020-07-20,福岡市消防局,15
2020-07-27,福岡市消防局,8
2020-08-03,福岡市消防局,19
2020-08-10,福岡市消防局,16
2020-08-17,福岡市消防局,19
2020-08-24,福岡市消防局,22
2020-08-31,福岡市消防局,20
2020-09-07,福岡市消防局,9
2020-09-14,福岡市消防局,15
2020-09-21,福岡市消防局,15
2020-09-28,福岡市消防局,5
2020-10-05,福岡市消防局,10
2020-10-12,福岡市消防局,7
2020-10-19,福岡市消防局,11
2020-10-26,福岡市消防局,4
2020-11-02,福岡市消防局,13
2020-11-09,福岡市消防局,11
2020-11-16,福岡市消防局,14
2020-11-23,福岡市消防局,7
2020-11-30,福岡市消防局,14
2020-12-07,福岡市消防局,8
2020-12-14,福岡市消防局,4
2020-12-21,福岡市消防局,16
2020-12-28,福岡市消防局,11
2021-01-04,福岡市消防局,28
2021-01-11,福岡市消防局,44
2021-01-18,福岡市消防局,16
2021-01-25,福岡市消防局,21
2021-02-01,福岡市消防局,23
2021-02-08,福岡市消防局,16
2021-02-15,福岡市消防局,30
2021-02-22,福岡市消防局,19
2021-03-01,福岡市消防局,12
2021-03-08,福岡市消防局,18
2021-03-15,福岡市消防局,8
2021-03-22,福岡市消防局,13
2021-03-29,福岡市消防局,17
2021-04-05,福岡市消防局,14
2021-04-12,福岡市消防局,11
2021-04-19,福岡市消防局,16
2021-04-26,福岡市消防局,36
2021-05-03,福岡市消防局,47
2021-05-10,福岡市消防局,38
2021-05-17,福岡市消防局,27
2021-05-24,福岡市消防局,21
2021-05-31,福岡市消防局,13
2021-06-07,福岡市消防局,7
2021-06-14,福岡市消防局,6
2021-06-21,福岡市消防局,6
2021-06-28,福岡市消防局,8
2021-07-05,福岡市消防局,10
2021-07-12,福岡市消防局,10
2021-07-19,福岡市消防局,17
2021-07-26,福岡市消防局,19
2021-08-02,福岡市消防局,45
2021-08-09,福岡市消防局,55
2021-08-16,福岡市消防局,46
2021-08-23,福岡市消防局,32
2021-08-30,福岡市消防局,15
2021-09-06,福岡市消防局,19
2021-09-13,福岡市消防局,20
2021-09-20,福岡市消防局,10
2021-09-27,福岡市消防局,16
2021-10-04,福岡市消防局,15
2021-10-11,福岡市消防局,13
2021-10-18,福岡市消防局,15
2021-10-25,福岡市消防局,11
2021-11-01,福岡市消防局,12
2021-11-08,福岡市消防局,20
2021-11-15,福岡市消防局,22
2021-11-22,福岡市消防局,20
2021-11-29,福岡市消防局,11
2021-12-06,福岡市消防局,28
2021-12-13,福岡市消防局,27
2021-12-20,福岡市消防局,16
2021-12-27,福岡市消防局,13
2022-01-03,福岡市消防局,18
2022-01-10,福岡市消防局,50
2022-01-17,福岡市消防局,92
2022-01-24,福岡市消防局,111
2022-01-31,福岡市消防局,86
2022-02-07,福岡市消防局,109
2022-02-14,福岡市消防局,109
2022-02-21,福岡市消防局,84
2022-02-28,福岡市消防局,69
2022-03-07,福岡市消防局,52
2022-03-14,福岡市消防局,42
2022-03-21,福岡市消防局,27
2022-03-28,福岡市消防局,24
2022-04-04,福岡市消防局,38
2022-04-11,福岡市消防局,52
2022-04-18,福岡市消防局,36
2022-04-25,福岡市消防局,23
2022-05-02,福岡市消防局,27
2022-05-09,福岡市消防局,38
2022-05-16,福岡市消防局,36
2022-05-23,福岡市消防局,35
2022-05-30,福岡市消防局,23
2022-06-06,福岡市消防局,27
2022-06-13,福岡市消防局,19
2022-06-20,福岡市消防局,26
2022-06-27,福岡市消防局,20
2022-07-04,福岡市消防局,49
2022-07-11,福岡市消防局,89
2022-07-18,福岡市消防局,145
2022-07-25,福岡市消防局,217
2022-08-01,福岡市消防局,174
2022-08-08,福岡市消防局,171
2022-08-15,福岡市消防局,168
2022-08-22,福岡市消防局,132
2022-08-29,福岡市消防局,89
2022-09-05,福岡市消防局,62
2022-09-12,福岡市消防局,44
2022-09-19,福岡市消防局,42
2022-09-26,福岡市消防局,23
2022-10-03,福岡市消防局,23
2022-10-10,福岡市消防局,35
2022-10-17,福岡市消防局,37
2022-10-24,福岡市消防局,19
2020-03-30,北九州市消防局,1
2020-04-06,北九州市消防局,3
2020-04-13,北九州市消防局,6
2020-04-20,北九州市消防局,2
2020-04-27,北九州市消防局,5
2020-05-04,北九州市消防局,2
2020-05-11,北九州市消防局,0
2020-05-18,北九州市消防局,0
2020-05-25,北九州市消防局,2
2020-06-01,北九州市消防局,9
2020-06-08,北九州市消防局,2
2020-06-15,北九州市消防局,2
2020-06-22,北九州市消防局,2
2020-06-29,北九州市消防局,2
2020-07-06,北九州市消防局,0
2020-07-13,北九州市消防局,3
2020-07-20,北九州市消防局,0
2020-07-27,北九州市消防局,5
2020-08-03,北九州市消防局,9
2020-08-10,北九州市消防局,9
2020-08-17,北九州市消防局,5
2020-08-24,北九州市消防局,3
2020-08-31,北九州市消防局,6
2020-09-07,北九州市消防局,1
2020-09-14,北九州市消防局,1
2020-09-21,北九州市消防局,6
2020-09-28,北九州市消防局,4
2020-10-05,北九州市消防局,1
2020-10-12,北九州市消防局,2
2020-10-19,北九州市消防局,1
2020-10-26,北九州市消防局,1
2020-11-02,北九州市消防局,3
2020-11-09,北九州市消防局,1
2020-11-16,北九州市消防局,2
2020-11-23,北九州市消防局,1
2020-11-30,北九州市消防局,4
2020-12-07,北九州市消防局,4
2020-12-14,北九州市消防局,5
2020-12-21,北九州市消防局,2
2020-12-28,北九州市消防局,5
2021-01-04,北九州市消防局,5
2021-01-11,北九州市消防局,12
2021-01-18,北九州市消防局,8
2021-01-25,北九州市消防局,8
2021-02-01,北九州市消防局,4
2021-02-08,北九州市消防局,5
2021-02-15,北九州市消防局,20
2021-02-22,北九州市消防局,6
2021-03-01,北九州市消防局,2
2021-03-08,北九州市消防局,5
2021-03-15,北九州市消防局,2
2021-03-22,北九州市消防局,3
2021-03-29,北九州市消防局,2
2021-04-05,北九州市消防局,2
2021-04-12,北九州市消防局,3
2021-04-19,北九州市消防局,3
2021-04-26,北九州市消防局,3
2021-05-03,北九州市消防局,6
2021-05-10,北九州市消防局,9
2021-05-17,北九州市消防局,11
2021-05-24,北九州市消防局,4
2021-05-31,北九州市消防局,4
2021-06-07,北九州市消防局,4
2021-06-14,北九州市消防局,1
2021-06-21,北九州市消防局,2
2021-06-28,北九州市消防局,2
2021-07-05,北九州市消防局,3
2021-07-12,北九州市消防局,3
2021-07-19,北九州市消防局,7
2021-07-26,北九州市消防局,7
2021-08-02,北九州市消防局,9
2021-08-09,北九州市消防局,11
2021-08-16,北九州市消防局,5
2021-08-23,北九州市消防局,7
2021-08-30,北九州市消防局,5
2021-09-06,北九州市消防局,3
2021-09-13,北九州市消防局,7
2021-09-20,北九州市消防局,2
2021-09-27,北九州市消防局,2
2021-10-04,北九州市消防局,6
2021-10-11,北九州市消防局,2
2021-10-18,北九州市消防局,2
2021-10-25,北九州市消防局,2
2021-11-01,北九州市消防局,2
2021-11-08,北九州市消防局,6
2021-11-15,北九州市消防局,1
2021-11-22,北九州市消防局,5
2021-11-29,北九州市消防局,5
2021-12-06,北九州市消防局,4
2021-12-13,北九州市消防局,4
2021-12-20,北九州市消防局,5
2021-12-27,北九州市消防局,4
2022-01-03,北九州市消防局,4
2022-01-10,北九州市消防局,13
2022-01-17,北九州市消防局,32
2022-01-24,北九州市消防局,24
2022-01-31,北九州市消防局,29
2022-02-07,北九州市消防局,95
2022-02-14,北九州市消防局,129
2022-02-21,北九州市消防局,73
2022-02-28,北九州市消防局,26
2022-03-07,北九州市消防局,14
2022-03-14,北九州市消防局,9
2022-03-21,北九州市消防局,7
2022-03-28,北九州市消防局,9
2022-04-04,北九州市消防局,10
2022-04-11,北九州市消防局,12
2022-04-18,北九州市消防局,6
2022-04-25,北九州市消防局,8
2022-05-02,北九州市消防局,8
2022-05-09,北九州市消防局,7
2022-05-16,北九州市消防局,9
2022-05-23,北九州市消防局,10
2022-05-30,北九州市消防局,4
2022-06-06,北九州市消防局,6
2022-06-13,北九州市消防局,10
2022-06-20,北九州市消防局,5
2022-06-27,北九州市消防局,1
2022-07-04,北九州市消防局,8
2022-07-11,北九州市消防局,13
2022-07-18,北九州市消防局,46
2022-07-25,北九州市消防局,71
2022-08-01,北九州市消防局,58
2022-08-08,北九州市消防局,68
2022-08-15,北九州市消防局,73
2022-08-22,北九州市消防局,41
2022-08-29,北九州市消防局,41
2022-09-05,北九州市消防局,25
2022-09-12,北九州市消防局,16
2022-09-19,北九州市消防局,8
2022-09-26,北九州市消防局,8
2022-10-03,北九州市消防局,8
2022-10-10,北九州市消防局,7
2022-10-17,北九州市消防局,12
2022-10-24,北九州市消防局,4
